# r(Angstrom) g(r)
1.592410000000000103e+00 1.243952042942074065e+00
1.622454999999999981e+00 1.044269365817048767e+00
1.652500000000000080e+00 8.128249167431316202e-01
1.682544999999999957e+00 5.726068500566474651e-01
1.712590000000000057e+00 3.452184550089608672e-01
1.742634999999999934e+00 1.484521366328895864e-01
1.772680000000000033e+00 -5.467030426548502575e-03
1.802724999999999911e+00 -1.107160367477963980e-01
1.832770000000000010e+00 -1.677249498439636888e-01
1.862815000000000110e+00 -1.821304792433124931e-01
1.892859999999999987e+00 -1.630350954959938203e-01
1.922905000000000086e+00 -1.208918737612916239e-01
1.952949999999999964e+00 -6.537782520115031915e-02
1.982995000000000063e+00 -3.609684286952630217e-03
2.013040000000000163e+00 6.102079482127809040e-02
2.043085000000000040e+00 1.292067195386051859e-01
2.073129999999999917e+00 2.052423970748956661e-01
2.103174999999999795e+00 2.958108457991951434e-01
2.133220000000000116e+00 4.082377603962016321e-01
2.163264999999999993e+00 5.485630849083997784e-01
2.193309999999999871e+00 7.197191255418121658e-01
2.223355999999999888e+00 9.201794265954228447e-01
2.253401000000000209e+00 1.143294440779748955e+00
2.283446000000000087e+00 1.377469448621043924e+00
2.313490999999999964e+00 1.607162161032005709e+00
2.343535999999999841e+00 1.814593484828086023e+00
2.373581000000000163e+00 1.981918882987264485e+00
2.403626000000000040e+00 2.093538937310320591e+00
2.433670999999999918e+00 2.138222209010645969e+00
2.463715999999999795e+00 2.110731428852470781e+00
2.493761000000000116e+00 2.012688798647349842e+00
2.523805999999999994e+00 1.852590828361809550e+00
2.553850999999999871e+00 1.644944650718536128e+00
2.583896000000000193e+00 1.408642946105807869e+00
2.613941000000000070e+00 1.164820647639652318e+00
2.643985999999999947e+00 9.344709694234032415e-01
2.674030999999999825e+00 7.361361789341158701e-01
2.704076000000000146e+00 5.839822963642411491e-01
2.734121000000000024e+00 4.864642648557317983e-01
2.764165999999999901e+00 4.457580911344319885e-01
2.794210999999999778e+00 4.579612965261917745e-01
2.824256000000000100e+00 5.140152478532176161e-01
2.854300999999999977e+00 6.011660715993747406e-01
2.884345999999999854e+00 7.047607058431718530e-01
2.914391999999999872e+00 8.101142928305710145e-01
2.944437000000000193e+00 9.042115044895967513e-01
2.974482000000000070e+00 9.770528593038465548e-01
3.004526999999999948e+00 1.022492705062392648e+00
3.034571999999999825e+00 1.038530271883838951e+00
3.064617000000000147e+00 1.027066742267789712e+00
3.094662000000000024e+00 9.932231363925758671e-01
3.124706999999999901e+00 9.443460398962769675e-01
3.154751999999999779e+00 8.888752007729070481e-01
3.184797000000000100e+00 8.352196980808265225e-01
3.214841999999999977e+00 7.907915573886044047e-01
3.244886999999999855e+00 7.612837956982001497e-01
3.274932000000000176e+00 7.502527954618255501e-01
3.304977000000000054e+00 7.590046661026845776e-01
3.335021999999999931e+00 7.867587636760033920e-01
3.365066999999999808e+00 8.310015618580931518e-01
3.395112000000000130e+00 8.879823329029711276e-01
3.425157000000000007e+00 9.532441219618550399e-01
3.455201999999999884e+00 1.022131283649446276e+00
3.485247000000000206e+00 1.090223128402334707e+00
3.515292000000000083e+00 1.153654221726821527e+00
3.545336999999999961e+00 1.209328060266086968e+00
3.575381999999999838e+00 1.255021328902329536e+00
3.605427999999999855e+00 1.289392943523835378e+00
3.635473000000000177e+00 1.311945475545664541e+00
3.665518000000000054e+00 1.322928211030268031e+00
3.695562999999999931e+00 1.323232117456327073e+00
3.725607999999999809e+00 1.314262640917629232e+00
3.755653000000000130e+00 1.297814229899360461e+00
3.785698000000000008e+00 1.275933187183122097e+00
3.815742999999999885e+00 1.250781336810204536e+00
3.845788000000000206e+00 1.224494075075982513e+00
3.875833000000000084e+00 1.199040714632035209e+00
3.905877999999999961e+00 1.176096304760105848e+00
3.935922999999999838e+00 1.156934298912241532e+00
3.965968000000000160e+00 1.142351349840907693e+00
3.996013000000000037e+00 1.132638276095424112e+00
4.026057999999999915e+00 1.127597472182384264e+00
