# r(Angstrom)	g(r)	in_region	integrand
8.000000000000000444e-01 4.529603338625902698e-01 0.000000000000000000e+00 3.202129452813896604e-01
8.199999999999999512e-01 4.685207943832120359e-01 0.000000000000000000e+00 3.479808261362598576e-01
8.399999999999999689e-01 4.851595391117954348e-01 0.000000000000000000e+00 3.781306541727319503e-01
8.599999999999999867e-01 5.021770904239318822e-01 0.000000000000000000e+00 4.102537293908058436e-01
8.800000000000000044e-01 5.186392160658113148e-01 0.000000000000000000e+00 4.436387117904814770e-01
9.000000000000000222e-01 5.334291666394019860e-01 0.000000000000000000e+00 4.772660213717587752e-01
9.200000000000000400e-01 5.453245888320031876e-01 0.000000000000000000e+00 5.098347981346379454e-01
9.399999999999999467e-01 5.530867713388971652e-01 0.000000000000000000e+00 5.398184420791184435e-01
9.599999999999999645e-01 5.555745705585513061e-01 0.000000000000000000e+00 5.655663532052011000e-01
9.799999999999999822e-01 5.518554717319157366e-01 0.000000000000000000e+00 5.854317115128852000e-01
1.000000000000000000e+00 5.413196184729700544e-01 0.000000000000000000e+00 5.979329770021712953e-01
1.020000000000000018e+00 5.237733265253200488e-01 0.000000000000000000e+00 6.019251096730590112e-01
1.040000000000000036e+00 4.995139729853610433e-01 0.000000000000000000e+00 5.967783495255486459e-01
1.060000000000000053e+00 4.693724934339856825e-01 0.000000000000000000e+00 5.825431565596398409e-01
1.080000000000000071e+00 4.347184651179324399e-01 0.000000000000000000e+00 5.600855107753327511e-01
1.100000000000000089e+00 3.974243077906369770e-01 0.000000000000000000e+00 5.311761121726273904e-01
1.120000000000000107e+00 3.597904792257924367e-01 0.000000000000000000e+00 4.985221407515239567e-01
1.139999999999999902e+00 3.244277200048441001e-01 0.000000000000000000e+00 4.657216165120217077e-01
1.159999999999999920e+00 2.941132379878628189e-01 0.000000000000000000e+00 4.371487994541216615e-01
1.179999999999999938e+00 2.716170194002878180e-01 0.000000000000000000e+00 4.177531495778231685e-01
1.199999999999999956e+00 2.595213669917959542e-01 0.000000000000000000e+00 4.127949268831266894e-01
1.219999999999999973e+00 2.600337004244085426e-01 0.000000000000000000e+00 4.275117313700316779e-01
1.239999999999999991e+00 2.748189329427511707e-01 0.000000000000000000e+00 4.667547630385385782e-01
1.260000000000000009e+00 3.048514047035731922e-01 0.000000000000000000e+00 5.345988618886472477e-01
1.280000000000000027e+00 3.503104031097228344e-01 0.000000000000000000e+00 6.339743879203577626e-01
1.300000000000000044e+00 4.105152725621108445e-01 0.000000000000000000e+00 7.663281211336695486e-01
1.320000000000000062e+00 4.839199194017755890e-01 0.000000000000000000e+00 9.313654015285833809e-01
1.340000000000000080e+00 5.681578041319750305e-01 0.000000000000000000e+00 1.126879069105099163e+00
1.360000000000000098e+00 6.601422088277337785e-01 0.000000000000000000e+00 1.348695963863216329e+00
1.379999999999999893e+00 7.562194522436093136e-01 0.000000000000000000e+00 1.590760345802934461e+00
1.399999999999999911e+00 8.523568247324257996e-01 0.000000000000000000e+00 1.845339394924255361e+00
1.419999999999999929e+00 9.443656451832745935e-01 0.000000000000000000e+00 2.103369671227178106e+00
1.439999999999999947e+00 1.028135907155351747e+00 0.000000000000000000e+00 2.354909654711702327e+00
1.459999999999999964e+00 1.099871481619316915e+00 0.000000000000000000e+00 2.589681725377827703e+00
1.479999999999999982e+00 1.156309307713611068e+00 0.000000000000000000e+00 2.797668103225555480e+00
1.500000000000000000e+00 1.194913805694506781e+00 0.000000000000000000e+00 2.969735948254885738e+00
1.520000000000000018e+00 1.214018418437558866e+00 0.000000000000000000e+00 3.098212420465816130e+00
1.540000000000000036e+00 1.212923790937577184e+00 0.000000000000000000e+00 3.177413199858349468e+00
1.560000000000000053e+00 1.191932685648899648e+00 0.000000000000000000e+00 3.204052806432484246e+00
1.580000000000000071e+00 1.152321509488858364e+00 0.000000000000000000e+00 3.177507480188220601e+00
1.600000000000000089e+00 1.096257393927225987e+00 0.000000000000000000e+00 3.099925381125558932e+00
1.620000000000000107e+00 1.026658268551218001e+00 0.000000000000000000e+00 2.976149049244498634e+00
1.639999999999999902e+00 9.470085228429392377e-01 0.000000000000000000e+00 2.813457264545039305e+00
1.659999999999999920e+00 8.611476360522648532e-01 0.000000000000000000e+00 2.621153947027182962e+00
1.679999999999999938e+00 7.730351055836536256e-01 0.000000000000000000e+00 2.409997096690927432e+00
1.699999999999999956e+00 6.865245131114920962e-01 0.000000000000000000e+00 2.191556293536274680e+00
1.719999999999999973e+00 6.051407211773430772e-01 0.000000000000000000e+00 1.977479597563223113e+00
1.739999999999999991e+00 5.318984504304904437e-01 0.000000000000000000e+00 1.778795248771773529e+00
1.760000000000000009e+00 4.691517444747664856e-01 0.000000000000000000e+00 1.605230527161925824e+00
1.780000000000000027e+00 4.184988490636764036e-01 0.000000000000000000e+00 1.464647152733679736e+00
1.800000000000000044e+00 3.807432251846194493e-01 0.000000000000000000e+00 1.362623685487035052e+00
1.820000000000000062e+00 3.559088651787054580e-01 0.000000000000000000e+00 1.302207885421992506e+00
1.840000000000000080e+00 3.433087322680881126e-01 0.000000000000000000e+00 1.283864632538551875e+00
1.860000000000000098e+00 3.416632984152175867e-01 1.000000000000000000e+00 1.305638526836712332e+00
