# r(Angstrom)	g(r)	in_region	integrand
6.999999999999999556e-01 4.407868324664512283e-01 0.000000000000000000e+00 2.942143415523017502e-01
7.199999999999999734e-01 4.493526087408943326e-01 0.000000000000000000e+00 3.173155874708433744e-01
7.399999999999999911e-01 4.596229772338711328e-01 0.000000000000000000e+00 3.428501290490621467e-01
7.600000000000000089e-01 4.716063230444236254e-01 0.000000000000000000e+00 3.710615462869582548e-01
7.800000000000000266e-01 4.851520553656584189e-01 0.000000000000000000e+00 4.020742191845314562e-01
8.000000000000000444e-01 4.999301034496036467e-01 0.000000000000000000e+00 4.358413277417819698e-01
8.199999999999999512e-01 5.154232609731550507e-01 0.000000000000000000e+00 4.720965919587095105e-01
8.399999999999999689e-01 5.309407246837336558e-01 0.000000000000000000e+00 5.103213718353144523e-01
8.599999999999999867e-01 5.456416945516251449e-01 0.000000000000000000e+00 5.497226073715967276e-01
8.800000000000000044e-01 5.585874559033774389e-01 0.000000000000000000e+00 5.892446785675561349e-01
9.000000000000000222e-01 5.688003837838275789e-01 0.000000000000000000e+00 6.276016054231926544e-01
9.200000000000000400e-01 5.753439771215380638e-01 0.000000000000000000e+00 6.633494479385065867e-01
9.399999999999999467e-01 5.773981425397221035e-01 0.000000000000000000e+00 6.949766861134977214e-01
9.599999999999999645e-01 5.743457145209447390e-01 0.000000000000000000e+00 7.210327599481658467e-01
9.799999999999999822e-01 5.658476321745991022e-01 0.000000000000000000e+00 7.402711094425113991e-01
1.000000000000000000e+00 5.519054242447039016e-01 0.000000000000000000e+00 7.518025745965342121e-01
1.020000000000000018e+00 5.329033880665008382e-01 0.000000000000000000e+00 7.552451954102341602e-01
1.040000000000000036e+00 5.096268431079293837e-01 0.000000000000000000e+00 7.508585318836117350e-01
1.060000000000000053e+00 4.832547711634365140e-01 0.000000000000000000e+00 7.396513040166659003e-01
1.080000000000000071e+00 4.553172485592599239e-01 0.000000000000000000e+00 7.234370718093978692e-01
1.100000000000000089e+00 4.276234861314757163e-01 0.000000000000000000e+00 7.048327352618066755e-01
1.120000000000000107e+00 4.021726719192479926e-01 0.000000000000000000e+00 6.872072743738928402e-01
1.139999999999999902e+00 3.810297658933375908e-01 0.000000000000000000e+00 6.745400691456556741e-01
1.159999999999999920e+00 3.661964236209307444e-01 0.000000000000000000e+00 6.712266995770964639e-01
1.179999999999999938e+00 3.594738940293399354e-01 0.000000000000000000e+00 6.818212256682142369e-01
1.199999999999999956e+00 3.623304510243863241e-01 0.000000000000000000e+00 7.107329874190093655e-01
1.219999999999999973e+00 3.757818646217264691e-01 0.000000000000000000e+00 7.618941248294817115e-01
1.239999999999999991e+00 4.002917277212975078e-01 0.000000000000000000e+00 8.384151778996311588e-01
1.260000000000000009e+00 4.357121547797148109e-01 0.000000000000000000e+00 9.422798666294578407e-01
1.280000000000000027e+00 4.812506868122731207e-01 0.000000000000000000e+00 1.074064711018962059e+00
1.300000000000000044e+00 5.354842978888053606e-01 0.000000000000000000e+00 1.232743131068143150e+00
1.320000000000000062e+00 5.964138390796983602e-01 0.000000000000000000e+00 1.415580986777001504e+00
1.340000000000000080e+00 6.615585299442939826e-01 0.000000000000000000e+00 1.618143438145537294e+00
1.360000000000000098e+00 7.280852954477330385e-01 0.000000000000000000e+00 1.834421885173750377e+00
1.379999999999999893e+00 7.929598379212602355e-01 0.000000000000000000e+00 2.057067347861639472e+00
1.399999999999999911e+00 8.531282822043870784e-01 0.000000000000000000e+00 2.277768366209206974e+00
1.419999999999999929e+00 9.056896742357397612e-01 0.000000000000000000e+00 2.487684220216451525e+00
1.439999999999999947e+00 9.480739868940648574e-01 0.000000000000000000e+00 2.677974029883372964e+00
1.459999999999999964e+00 9.781979530011102320e-01 0.000000000000000000e+00 2.840348355209971754e+00
1.479999999999999982e+00 9.945933826178641191e-01 0.000000000000000000e+00 2.967618996196248471e+00
1.500000000000000000e+00 9.964987870145158855e-01 0.000000000000000000e+00 3.054206792842201867e+00
1.520000000000000018e+00 9.839075466600858411e-01 0.000000000000000000e+00 3.096567945147832734e+00
1.540000000000000036e+00 9.575679932745516654e-01 0.000000000000000000e+00 3.093500633113140719e+00
1.560000000000000053e+00 9.189359566839365723e-01 0.000000000000000000e+00 3.046306436738125623e+00
1.580000000000000071e+00 8.700844530841173041e-01 0.000000000000000000e+00 2.958793996022788697e+00
1.600000000000000089e+00 8.135705942925093304e-01 0.000000000000000000e+00 2.837098110967128495e+00
1.620000000000000107e+00 7.522792753300748814e-01 0.000000000000000000e+00 2.689355861571145034e+00
1.639999999999999902e+00 6.892415940215246284e-01 0.000000000000000000e+00 2.525214767834838447e+00
