# r(Angstrom)	g_data	baseline	peak_only_data	y_fit_peak	total_fit	residual
2.399999999999999911e+00 1.539376147404344142e+00 6.677404362912462421e-01 8.716357111130978996e-01 8.913525551614688291e-01 1.559092991452715182e+00 -1.971684404837092952e-02
2.419999999999999929e+00 1.564528384665530236e+00 6.719065084206015115e-01 8.926218762449287247e-01 9.132571829520286233e-01 1.585163691372630135e+00 -2.063530670709989856e-02
2.439999999999999947e+00 1.572716179055035024e+00 6.760725805499566698e-01 8.966435985050783541e-01 9.144345662734602032e-01 1.590507146823416873e+00 -1.779096776838184901e-02
2.459999999999999964e+00 1.563533358856574740e+00 6.802386526793119392e-01 8.832947061772628006e-01 8.948036372814333061e-01 1.575042289960745245e+00 -1.150893110417050558e-02
2.479999999999999982e+00 1.537378278014532640e+00 6.844047248086670976e-01 8.529735532058655423e-01 8.557066636782448832e-01 1.540111388486911981e+00 -2.733110472379340905e-03
2.500000000000000000e+00 1.495437930835497031e+00 6.885707969380223670e-01 8.068671338974746643e-01 7.997560254154113535e-01 1.488326822353433609e+00 7.111108482063310809e-03
2.520000000000000018e+00 1.439626838715049928e+00 6.927368690673776364e-01 7.468899696476722916e-01 7.305429703433390376e-01 1.423279839410716674e+00 1.634699930433325399e-02
2.540000000000000036e+00 1.372482132496823048e+00 6.969029411967327947e-01 6.755791913000902538e-01 6.522538435607837526e-01 1.349156784757516547e+00 2.332534773930650118e-02
2.560000000000000053e+00 1.297017579655109554e+00 7.010690133260880641e-01 5.959485663290214896e-01 5.692511158845203756e-01 1.270320129210608329e+00 2.669745044450111404e-02
2.580000000000000071e+00 1.216557381723651687e+00 7.052350854554433335e-01 5.113222962682083539e-01 4.856773810448126727e-01 1.190912466500255951e+00 2.564491522339568119e-02
2.600000000000000089e+00 1.134549786667099491e+00 7.094011575847984918e-01 4.251486290823009995e-01 4.051310710856526609e-01 1.114532228670451097e+00 2.001755799664833857e-02
2.620000000000000107e+00 1.054379562933866143e+00 7.135672297141537612e-01 3.408123332197123823e-01 3.304458582809465805e-01 1.044013087995100397e+00 1.036647493876580173e-02
2.640000000000000124e+00 9.791893403392397666e-01 7.177333018435090306e-01 2.614560384957307360e-01 2.635857312765075289e-01 9.813190331200165595e-01 -2.129692780776792915e-03
2.660000000000000142e+00 9.117195614593410768e-01 7.218993739728641890e-01 1.898201874864768879e-01 2.056488309626891831e-01 9.275482049355533443e-01 -1.582864347621229517e-02
2.680000000000000160e+00 8.541792457519961079e-01 7.260654461022194583e-01 1.281137996497766496e-01 1.569586872220582741e-01 8.830241333242777602e-01 -2.884488757228162448e-02
2.700000000000000178e+00 8.081520041623728723e-01 7.302315182315747277e-01 7.792048593079814456e-02 1.172133657102089471e-01 8.474448839417836332e-01 -3.929287977941080257e-02
2.720000000000000195e+00 7.745458078152037684e-01 7.343975903609298861e-01 4.014821745427388233e-02 8.566140967729091171e-02 8.200590000382208533e-01 -4.551319222301702938e-02
2.740000000000000213e+00 7.535783278373598959e-01 7.385636624902851555e-01 1.501466534707474043e-02 6.127718248743993512e-02 7.998408449777251183e-01 -4.626251714036519469e-02
2.759999999999999787e+00 7.448127706843179485e-01 7.427297346196403138e-01 2.083036064677634691e-03 4.291532495303279626e-02 7.856450595726731656e-01 -4.083228888835516157e-02
